S-10B
S-18B Google 11 [0.37735849056603776] S:36, I:0, D:20
S-18B Kaldi 11 [0.2578616352201258] S:25, I:6, D:9
S-26B
S-26B Google 0 [0.4] S:12, I:0, D:22
S-26B Kaldi 0 [0.27058823529411763] S:16, I:2, D:5
S-26B Google 1 [0.38461538461538464] S:38, I:0, D:54
S-26B Kaldi 1 [0.2834008097165992] S:46, I:9, D:15
S-26B Google 2 [0.41155234657039713] S:65, I:3, D:46
S-26B Kaldi 2 [0.2563176895306859] S:47, I:10, D:14
S-26B Google 3 [0.5035460992907801] S:33, I:1, D:36
S-26B Kaldi 3 [0.375886524822695] S:38, I:3, D:12
S-26B Google 4 [0.4013840830449827] S:60, I:3, D:49
S-26B Kaldi 4 [0.22145328719723184] S:38, I:3, D:23
S-26B Google 5 [0.5239294710327456] S:116, I:2, D:87
S-26B Kaldi 5 [0.4105793450881612] S:101, I:5, D:55
S-26B Google 6 [0.34269662921348315] S:20, I:0, D:38
S-26B Kaldi 6 [0.2640449438202247] S:34, I:1, D:12
S-26B Google 7 [0.31958762886597936] S:16, I:0, D:15
S-26B Kaldi 7 [0.30927835051546393] S:25, I:3, D:2
S-26B Google 8 [0.3392857142857143] S:19, I:3, D:14
S-26B Kaldi 8 [0.25] S:15, I:4, D:8
S-26B Google 9 [0.38461538461538464] S:7, I:0, D:2
S-26B Kaldi 9 [0.38461538461538464] S:9, I:0, D:0
S-26B Google 10 [0.5888888888888889] S:32, I:2, D:18
S-26B Kaldi 10 [0.4111111111111111] S:27, I:1, D:9
S-26B Google 11 [0.8333333333333334] S:0, I:0, D:0
S-26B Kaldi 11 [0.5] S:2, I:0, D:0
S-30B
S-30B Google 0 [0.4581497797356828] S:37, I:1, D:57
S-30B Kaldi 0 [0.3392070484581498] S:52, I:4, D:21
S-30B Google 1 [0.43478260869565216] S:13, I:1, D:54
S-30B Kaldi 1 [0.32919254658385094] S:41, I:5, D:7
S-30B Google 2 [0.26158940397350994] S:22, I:1, D:54
S-30B Kaldi 2 [0.19205298013245034] S:44, I:3, D:11
S-30B Google 3 [0.28286852589641437] S:24, I:1, D:44
S-30B Kaldi 3 [0.21115537848605578] S:39, I:2, D:12
S-30B Google 4 [0.33874239350912777] S:60, I:1, D:97
S-30B Kaldi 4 [0.281947261663286] S:92, I:3, D:43
S-30B Google 5 [0.3069306930693069] S:51, I:1, D:102
S-30B Kaldi 5 [0.22376237623762377] S:72, I:3, D:37
S-30B Google 6 [0.3220338983050847] S:1, I:0, D:9
S-30B Kaldi 6 [0.288135593220339] S:9, I:0, D:5
S-30B Google 7 [0.34210526315789475] S:11, I:0, D:13
S-30B Kaldi 7 [0.25] S:14, I:3, D:2
S-30B Google 8 [0.46875] S:1, I:0, D:5
S-30B Kaldi 8 [0.34375] S:7, I:1, D:3
S-30B Google 9 [0.5490196078431373] S:8, I:0, D:11
S-30B Kaldi 9 [0.19607843137254902] S:7, I:0, D:1
S-30B Google 10 [0.7] S:4, I:0, D:13
S-30B Kaldi 10 [0.43333333333333335] S:12, I:0, D:1
S-30B Google 11 [0.46296296296296297] S:4, I:1, D:14
S-30B Kaldi 11 [0.3333333333333333] S:8, I:3, D:4
S-9A
S-9A  empty reference transcript
S-2B
S-2B Google 0 [0.5981308411214953] S:14, I:0, D:46
S-2B Kaldi 0 [0.4392523364485981] S:31, I:2, D:14
